TransactionAmount,RecipientCommitteeParty,DonorCity,DonorState,DonorZipCode,ID,
2000,Republican,SPRINGFIELD,MA,1111,72135,
3000,Republican,SPRINGFIELD,MA,1111,72135,
2500,Republican,SPRINGFIELD,MA,1111,72135,
2500,Democratic,SPRINGFIELD,MA,1111,72135,
2000,Democratic,SPRINGFIELD,MA,1111,72135,
2500,Republican,SPRINGFIELD,MA,1111,72135,
2500,Democratic,SPRINGFIELD,MA,1111,72135,
-2000,Republican,SPRINGFIELD,MA,1111,72135,
-3000,Republican,SPRINGFIELD,MA,1111,72135,
-2000,Republican,SPRINGFIELD,MA,1111,72135,
2000,Democratic,SPRINGFIELD,MA,1111,72135,
2500,Republican,SPRINGFIELD,MA,1111,72135,
5000,Democratic,SPRINGFIELD,MA,1111,72135,
3000,Republican,SPRINGFIELD,MA,1111,72135,
500,Republican,SPRINGFIELD,MA,1111,72135,
3000,Republican,SPRINGFIELD,MA,1111,72135,
2000,Republican,SPRINGFIELD,MA,1111,72135,
5000,Republican,SPRINGFIELD,MA,1111,72135,
2000,Republican,SPRINGFIELD,MA,1111,72135,
3000,Republican,SPRINGFIELD,MA,1111,72135,
2500,Republican,SPRINGFIELD,MA,1111,72135,
5000,Republican,SPRINGFIELD,MA,1111,72135,
1000,Republican,SPRINGFIELD,MA,1111,72135,
2500,Democratic,SPRINGFIELD,MA,1111,72135,
3000,Democratic,SPRINGFIELD,MA,1111,72135,
2000,Republican,SPRINGFIELD,MA,1111,72135,
3000,Democratic,SPRINGFIELD,MA,1111,72135,
3000,Democratic,SPRINGFIELD,MA,1111,72135,
1000,Republican,SPRINGFIELD,MA,1111,72135,
1500,Republican,SPRINGFIELD,MA,1111,72135,
200,Democratic,SPRINGFIELD,MA,1119,72135,
1500,Democratic,SPRINGFIELD,MA,1144,72135,
-1500,Democratic,SPRINGFIELD,MA,1144,72135,
250,Democratic,PITTSFIELD,MA,1201,72135,
250,Democratic,PITTSFIELD,MA,1201,72135,
500,Democratic,PITTSFIELD,MA,1201,72135,
500,Democratic,PITTSFIELD,MA,1201,72135,
250,Democratic,PITTSFIELD,MA,1201,72135,
250,Democratic,PITTSFIELD,MA,1201,72135,
250,Democratic,PITTSFIELD,MA,1201,72135,
250,Democratic,PITTSFIELD,MA,1201,72135,
1000,Democratic,PITTSFIELD,MA,1201,72135,
1000,Democratic,PITTSFIELD,MA,1201,72135,
500,Democratic,PITTSFIELD,MA,1201,72135,
500,Democratic,DALTON,MA,1226,72135,
200,Democratic,GREAT BARRINGTON,MA,1230,72135,
500,Democratic,GREAT BARRINGTON,MA,1230,72135,
500,Democratic,GREAT BARRINGTON,MA,1230,72135,
250,Democratic,LENOX,MA,1240,72135,
250,Democratic,NORTH ADAMS,MA,1247,72135,
2700,Democratic,RICHMOND,MA,1254,72135,
250,Democratic,RICHMOND,MA,1254,72135,
500,Democratic,WEST STOCKBRIDGE,MA,1266,72135,
500,Democratic,WILLIAMSTOWN,MA,1267,72135,
250,,WILLIAMSTOWN,MA,1267,72135,
250,Democratic,WILLIAMSTOWN,MA,1267,72135,
250,Democratic,WILLIAMSTOWN,MA,1267,72135,
1000,,NORTHFIELD,MA,1360,72135,
500,Republican,TURNERS FALLS,MA,1376,72135,
500,Democratic,WENDELL,MA,1379,72135,
1000,,AYER,MA,1432,25027,
250,,GROTON,MA,1450,25027,
1000,Democratic,HARVARD,MA,1451,25027,
1000,Republican,LEOMINSTER,MA,1453,25027,
2000,,TOWNSEND,MA,1469,25027,
1000,,BOYLSTON,MA,1505,25027,
250,Democratic,CHARLTON,MA,1507,25027,
250,Democratic,WORCESTER,MA,1520,25027,
250,Democratic,WORCESTER,MA,1520,25027,
2000,Democratic,NORTHBOROUGH,MA,1532,25027,
250,Democratic,NORTHBOROUGH,MA,1532,25027,
250,Democratic,SHREWSBURY,MA,1545,25027,
250,Democratic,SHREWSBURY,MA,1545,25027,
800,Republican,SPENCER,MA,1562,25027,
2700,Republican,WESTBOROUGH,MA,1581,25027,
2700,Republican,WESTBOROUGH,MA,1581,25027,
2700,Republican,WESTBOROUGH,MA,1581,25027,
2700,Republican,WESTBOROUGH,MA,1581,25027,
2700,,WORCESTER,MA,1603,25027,
500,Democratic,WORCESTER,MA,1604,25027,
500,Democratic,WORCESTER,MA,1608,25027,
1000,Republican,WORCESTER,MA,1609,25027,
500,Republican,WORCESTER,MA,1613,25027,
1000,Democratic,FRAMINGHAM,MA,1701,25027,
400,Republican,FRAMINGHAM,MA,1701,25027,
250,Democratic,FRAMINGHAM,MA,1703,25027,
2700,Democratic,ACTON,MA,1720,25027,
500,Democratic,ACTON,MA,1720,25027,
250,,ACTON,MA,1720,25027,
250,,ACTON,MA,1720,25027,
500,Republican,ASHLAND,MA,1721,25027,
200,Democratic,ASHLAND,MA,1721,25027,
250,Democratic,ASHLAND,MA,1721,25027,
500,Democratic,BEDFORD,MA,1730,25027,
250,Democratic,BEDFORD,MA,1730,25027,
500,Democratic,BEDFORD,MA,1730,25027,
1000,Democratic,CARLISLE,MA,1741,25027,
250,Democratic,CONCORD,MA,1742,25027,
500,Democratic,CONCORD,MA,1742,25027,
2700,Democratic,CONCORD,MA,1742,25027,
2700,Democratic,CONCORD,MA,1742,25027,
2700,Democratic,CONCORD,MA,1742,25027,
2700,Democratic,CONCORD,MA,1742,25027,
1000,Democratic,CONCORD,MA,1742,25027,
1000,Democratic,CONCORD,MA,1742,25027,
300,Democratic,CONCORD,MA,1742,25027,
2700,Democratic,CONCORD,MA,1742,25027,
2700,Democratic,CONCORD,MA,1742,25027,
1000,Democratic,CONCORD,MA,1742,25027,
1000,Democratic,CONCORD,MA,1742,25027,
2700,Democratic,CONCORD,MA,1742,25027,
2700,Democratic,CONCORD,MA,1742,25027,
2700,Democratic,CONCORD,MA,1742,25027,
2700,Democratic,CONCORD,MA,1742,25027,
-400,Republican,CONCORD,MA,1742,25027,
-2000,Democratic,CONCORD,MA,1742,25027,
-2000,Democratic,CONCORD,MA,1742,25027,
2700,Democratic,CONCORD,MA,1742,25027,
2700,Democratic,CONCORD,MA,1742,25027,
250,Republican,CONCORD,MA,1742,25027,
2400,Democratic,CONCORD,MA,1742,25027,
1800,Democratic,CONCORD,MA,1742,25027,
2700,,CONCORD,MA,1742,25027,
2700,,CONCORD,MA,1742,25027,
2000,,CONCORD,MA,1742,25027,
1000,Democratic,CONCORD,MA,1742,25027,
2700,Democratic,CONCORD,MA,1742,25027,
500,Democratic,CONCORD,MA,1742,25027,
2700,,CONCORD,MA,1742,25027,
2700,,CONCORD,MA,1742,25027,
2700,,CONCORD,MA,1742,25027,
2700,,CONCORD,MA,1742,25027,
2000,,CONCORD,MA,1742,25027,
300,Democratic,CONCORD,MA,1742,25027,
250,Republican,CONCORD,MA,1742,25027,
500,Democrat-Farm-Labor,CONCORD,MA,1742,25027,
2600,Democratic,CONCORD,MA,1742,25027,
500,Republican,CONCORD,MA,1742,25027,
1000,Democratic,CONCORD,MA,1742,25027,
2500,Democratic,CONCORD,MA,1742,25027,
5000,Democratic,CONCORD,MA,1742,25027,
-2300,Democratic,CONCORD,MA,1742,25027,
2300,Democratic,CONCORD,MA,1742,25027,
250,Democratic,CONCORD,MA,1742,25027,
5000,Democratic,CONCORD,MA,1742,25027,
-2300,Democratic,CONCORD,MA,1742,25027,
2300,Democratic,CONCORD,MA,1742,25027,
1000,Democratic,CONCORD,MA,1742,25027,
2300,Democratic,CONCORD,MA,1742,25027,
2700,Democratic,CONCORD,MA,1742,25027,
250,Democratic,CONCORD,MA,1742,25027,
500,Republican,CONCORD,MA,1742,25027,
250,Democratic,CONCORD,MA,1742,25027,
500,Democratic,CONCORD,MA,1742,25027,
2600,Democratic,CONCORD,MA,1742,25027,
250,Republican,HOPEDALE,MA,1747,25027,
300,Democratic,HOPKINTON,MA,1748,25027,
250,Democratic,HOPKINTON,MA,1748,25027,
250,,HOPKINTON,MA,1748,25027,
600,Democratic,HOPKINTON,MA,1748,25027,
2400,Democratic,HOPKINTON,MA,1748,25027,
500,Republican,HOPKINTON,MA,1748,25027,
-45,Democratic,HUDSON,MA,1749,25027,
5000,Republican,MARLBOROUGH,MA,1752,25027,
250,Democratic,MAYNARD,MA,1754,25017,X
2000,Republican,MILFORD,MA,1757,25027,
500,Democratic,NATICK,MA,1760,25027,
1000,Republican,NATICK,MA,1760,25027,
2500,Democratic,SHERBORN,MA,1770,25027,
-2700,Democratic,SOUTHBOROUGH,MA,1772,25027,
2700,Democratic,SOUTHBOROUGH,MA,1772,25027,
5400,Democratic,SOUTHBOROUGH,MA,1772,25027,
1000,Republican,SOUTHBOROUGH,MA,1772,25027,
1000,,SOUTHBOROUGH,MA,1772,25027,
500,Republican,SOUTHBOROUGH,MA,1772,25027,
1000,Democratic,LINCOLN,MA,1773,25027,
1000,Democratic,LINCOLN,MA,1773,25027,
1000,Republican,LINCOLN,MA,1773,25027,
1200,Democratic,LINCOLN,MA,1773,25027,
2700,,LINCOLN,MA,1773,25027,
500,Democratic,LINCOLN,MA,1773,25027,
250,Republican,LINCOLN,MA,1773,25027,
1000,Democratic,LINCOLN,MA,1773,25027,
500,Republican,LINCOLN,MA,1773,25027,
250,Democratic,SUDBURY,MA,1776,25027,
1000,Democratic,SUDBURY,MA,1776,25027,
2000,Democratic,SUDBURY,MA,1776,25027,
250,Democratic,SUDBURY,MA,1776,25027,
1000,Republican,SUDBURY,MA,1776,25027,
5400,Republican,SUDBURY,MA,1776,25027,
-2700,Republican,SUDBURY,MA,1776,25027,
2700,Republican,SUDBURY,MA,1776,25027,
500,Democratic,SUDBURY,MA,1776,25027,
500,Democratic,SUDBURY,MA,1776,25027,
250,Democratic,SUDBURY,MA,1776,25027,
2700,Democratic,WAYLAND,MA,1778,25027,
2700,Democratic,WAYLAND,MA,1778,25027,
2700,Democratic,WAYLAND,MA,1778,25027,
2700,Democratic,WAYLAND,MA,1778,25027,
